Amplitude Correction,
BLOG300 correction factors,
,
A.14.06,N9010B
544 B25 DST EA3 EXM FSA P44 PFR ,1
Frequency Unit,MHz
Antenna Unit,dBuV/m
Frequency Interpolation,Linear
DATA,
25,26.97157616
30,25.0508384
35,25.02852626
40,20.55580625
45,20.76175974
50,16.82160534
60,14.53786352
70,14.92978121
80,16.90249046
90,20.23939554
100,21.66374998
125,26.02729984
150,24.76745974
175,24.35154113
200,19.72728534
225,20.32216691
250,23.26936923
275,22.32782447
300,22.28772631
325,23.18332783
350,23.20831255
375,24.94312665
400,25.64991501
425,26.32006088
450,26.35614768
475,27.25797785
500,27.75713453
525,29.0983316
550,29.17450644
575,29.47814205
600,28.97803627
625,29.51053977
650,30.27320337
675,30.76864608
700,31.00771657
725,31.4169872
750,32.16274193
775,32.1084983
800,32.44206984
825,32.61057614
850,33.05899419
875,33.08097566
900,33.40036455
925,34.02644565
950,33.8571656
975,34.50093528
1000,34.35852065
1100,36.23552216
1200,36.68877606
1300,37.87734875
1400,38.71100459
1500,39.54371809
1600,40.70840329
1700,41.04340683
1800,41.7542761
1900,42.03702579
2000,43.11095644
2500,44.08289179
3000,46.12837102
3500,48.93079137
4000,51.99547761
4500,53.59480216
5000,56.86028633
5500,58.50251374
6000,61.40459007
6500,63.63389823
7000,66.94100574
